t,x,y,z,yaw
1788515943.515524,0.047715,-0.029577,0.000000,0.001749
1788515943.582924,0.047855,-0.030540,0.000000,0.001759
1788515943.650553,0.047507,-0.029788,0.000000,0.001739
1788515943.714266,0.048675,-0.030757,0.000000,0.001739
1788515943.781857,0.048429,-0.030125,0.000000,0.001602
1788515943.849224,0.048847,-0.029570,0.000000,0.001714
1788515943.912773,0.049601,-0.029638,0.000000,0.001714
1788515943.984255,0.050271,-0.029940,0.000000,0.002182
1788515944.048890,0.050987,-0.029759,0.000000,0.002124
1788515944.115687,0.051303,-0.030200,0.000000,0.002124
1788515944.180191,0.051035,-0.029917,0.000000,0.002289
1788515944.246791,0.050781,-0.029745,0.000000,0.002553
1788515944.314773,0.050824,-0.030227,0.000000,0.002553
1788515944.381947,0.051178,-0.029756,0.000000,0.001541
1788515944.445525,0.050736,-0.030264,0.000000,0.001428
1788515944.513441,0.050594,-0.030149,0.000000,0.001428
1788515944.581110,0.050553,-0.029820,0.000000,0.002019
1788515944.650288,0.050450,-0.030583,0.000000,0.002019
1788515944.717361,0.050497,-0.030311,0.000000,0.002019
1788515944.779581,0.050904,-0.030194,0.000000,0.001652
1788515944.846990,0.051256,-0.030593,0.000000,0.001692
1788515944.914564,0.050844,-0.030840,0.000000,0.002286
1788515944.982294,0.050249,-0.030489,0.000000,0.001931
1788515945.045846,0.050685,-0.031418,0.000000,0.002202
1788515945.114634,0.050818,-0.031221,0.000000,0.002202
1788515945.182074,0.050004,-0.031371,0.000000,0.001830
1788515945.248966,0.050065,-0.031697,0.000000,0.002629
1788515945.313349,0.050085,-0.031401,0.000000,0.002629
1788515945.380072,0.050774,-0.031657,0.000000,0.002230
1788515945.448128,0.050330,-0.031667,0.000000,0.002230
1788515945.511832,0.050912,-0.031107,0.000000,0.001947
1788515945.583463,0.051415,-0.031097,0.000000,0.001846
1788515945.647273,0.050948,-0.030910,0.000000,0.001846
1788515945.715456,0.051059,-0.031176,0.000000,0.001846
1788515945.777664,0.051583,-0.030928,0.000000,0.001846
1788515945.845039,0.050910,-0.031516,0.000000,0.001846
1788515945.912624,0.050228,-0.031341,0.000000,0.001846
1788515945.976706,0.050700,-0.032414,0.000000,0.001846
1788515946.043772,0.050927,-0.031953,0.000000,0.001846
1788515946.112395,0.051333,-0.031690,0.000000,0.001846
1788515946.179665,0.050863,-0.031833,0.000000,0.002291
1788515946.243131,0.051594,-0.031788,0.000000,0.001964
1788515946.310478,0.051838,-0.031751,0.000000,0.001964
1788515946.379658,0.051129,-0.032014,0.000000,0.002110
1788515946.445659,0.051369,-0.031663,0.000000,0.002110
1788515946.513190,0.050810,-0.031323,0.000000,0.001530
1788515946.578260,0.050914,-0.031792,0.000000,0.002110
1788515946.644787,0.051155,-0.031316,0.000000,0.002110
1788515946.712779,0.051575,-0.030988,0.000000,0.001329
1788515946.779617,0.051841,-0.031467,0.000000,0.001451
1788515946.843182,0.051181,-0.031233,0.000000,0.001451
1788515946.911543,0.051355,-0.031532,0.000000,0.001824
1788515946.978484,0.051398,-0.031586,0.000000,0.001863
1788515947.046082,0.051077,-0.032266,0.000000,0.001863
1788515947.114127,0.051056,-0.032381,0.000000,0.001297
1788515947.177249,0.051511,-0.031793,0.000000,0.001984
1788515947.244612,0.051070,-0.031768,0.000000,0.001984
1788515947.312276,0.051142,-0.031082,0.000000,0.001984
1788515947.375651,0.051317,-0.031612,0.000000,0.001984
1788515947.443422,0.051255,-0.031752,0.000000,0.001984
1788515947.511198,0.051072,-0.031784,0.000000,0.001984
1788515947.578672,0.051040,-0.031798,0.000000,0.001984
1788515947.642550,0.050990,-0.031238,0.000000,0.001984
1788515947.710053,0.050750,-0.031023,0.000000,0.001984
1788515947.777592,0.050407,-0.031325,0.000000,0.001984
1788515947.841001,0.050664,-0.031790,0.000000,0.002042
1788515947.910439,0.051009,-0.031236,0.000000,0.001901
1788515947.976446,0.050772,-0.031104,0.000000,0.001901
1788515948.044290,0.051009,-0.031342,0.000000,0.001901
1788515948.107427,0.051247,-0.031130,0.000000,0.001901
1788515948.175843,0.051374,-0.030920,0.000000,0.001901
1788515948.242837,0.051150,-0.031281,0.000000,0.001901
1788515948.310422,0.051751,-0.031660,0.000000,0.001901
1788515948.374243,0.051537,-0.031399,0.000000,0.001901
1788515948.442278,0.051491,-0.030550,0.000000,0.001901
