t,x,y,z,yaw
1788515943.117904,-0.000000,-0.000000,0.000000,0.000000
1788515943.185094,0.000022,0.000560,0.000000,0.001337
1788515943.251573,-0.000035,0.000082,0.000000,0.000565
1788515943.316366,0.000403,0.000027,0.000000,0.000077
1788515943.384150,0.000613,-0.000028,0.000000,-0.001119
1788515943.451589,-0.000191,-0.001020,0.000000,-0.001119
1788515943.515524,0.000329,-0.000209,0.000000,-0.002411
1788515943.582924,0.000486,-0.001341,0.000000,-0.001720
1788515943.650553,0.000079,-0.000456,0.000000,-0.002209
1788515943.714266,0.001448,-0.001602,0.000000,-0.002209
1788515943.781857,0.001188,-0.000818,0.000000,-0.003405
1788515943.849224,0.001690,-0.000178,0.000000,-0.003060
1788515943.912773,0.002576,-0.000261,0.000000,-0.004036
1788515943.984255,0.003388,-0.000552,0.000000,-0.004036
1788515944.048890,0.004213,-0.000324,0.000000,-0.005181
1788515944.115687,0.004583,-0.000844,0.000000,-0.004491
1788515944.180191,0.004270,-0.000486,0.000000,-0.005583
1788515944.246791,0.004022,-0.000197,0.000000,-0.004118
1788515944.314773,0.004070,-0.000765,0.000000,-0.004118
1788515944.381947,0.004447,-0.000391,0.000000,-0.005263
1788515944.445525,0.003901,-0.001030,0.000000,-0.005263
1788515944.513441,0.003733,-0.000894,0.000000,-0.005608
1788515944.581110,0.003707,-0.000466,0.000000,-0.005120
1788515944.650288,0.003583,-0.001364,0.000000,-0.004429
1788515944.717361,0.003639,-0.001044,0.000000,-0.005406
1788515944.779581,0.004122,-0.000895,0.000000,-0.005406
1788515944.846990,0.004521,-0.001375,0.000000,-0.006382
1788515944.914564,0.004037,-0.001555,0.000000,-0.006871
1788515944.982294,0.003328,-0.001149,0.000000,-0.006525
1788515945.045846,0.003849,-0.002222,0.000000,-0.006525
1788515945.114634,0.004007,-0.001990,0.000000,-0.005144
1788515945.182074,0.003036,-0.002191,0.000000,-0.006389
1788515945.248966,0.003162,-0.002433,0.000000,-0.007303
1788515945.313349,0.003187,-0.002084,0.000000,-0.007993
1788515945.380072,0.003989,-0.002389,0.000000,-0.008684
1788515945.448128,0.003466,-0.002399,0.000000,-0.008684
1788515945.511832,0.004163,-0.001778,0.000000,-0.009829
1788515945.583463,0.004709,-0.001811,0.000000,-0.010174
1788515945.647273,0.004161,-0.001589,0.000000,-0.010662
1788515945.715456,0.004290,-0.001902,0.000000,-0.009686
1788515945.777664,0.004908,-0.001613,0.000000,-0.009686
1788515945.845039,0.004113,-0.002301,0.000000,-0.008490
1788515945.912624,0.003311,-0.002092,0.000000,-0.009466
1788515945.976706,0.003862,-0.003357,0.000000,-0.009466
1788515946.043772,0.004130,-0.002815,0.000000,-0.010064
1788515946.112395,0.004610,-0.002508,0.000000,-0.009219
1788515946.179665,0.004179,-0.002652,0.000000,-0.009991
1788515946.243131,0.005035,-0.002643,0.000000,-0.011187
1788515946.310478,0.005322,-0.002601,0.000000,-0.010042
1788515946.379658,0.004411,-0.002912,0.000000,-0.010042
1788515946.445659,0.004695,-0.002500,0.000000,-0.011133
1788515946.513190,0.004009,-0.002214,0.000000,-0.012047
1788515946.578260,0.004122,-0.002680,0.000000,-0.011070
1788515946.644787,0.004408,-0.002121,0.000000,-0.011070
1788515946.712779,0.004857,-0.001928,0.000000,-0.011916
1788515946.779617,0.005167,-0.002517,0.000000,-0.010880
1788515946.843182,0.004392,-0.002239,0.000000,-0.010880
1788515946.911543,0.004590,-0.002553,0.000000,-0.011857
1788515946.978484,0.004636,-0.002579,0.000000,-0.012703
1788515947.046082,0.004255,-0.003378,0.000000,-0.011667
1788515947.114127,0.004226,-0.003638,0.000000,-0.012012
1788515947.177249,0.004764,-0.002822,0.000000,-0.012012
1788515947.244612,0.004246,-0.002791,0.000000,-0.012357
1788515947.312276,0.004333,-0.001984,0.000000,-0.013203
1788515947.375651,0.004536,-0.002608,0.000000,-0.012227
1788515947.443422,0.004463,-0.002773,0.000000,-0.012715
1788515947.511198,0.004247,-0.002810,0.000000,-0.011623
1788515947.578672,0.004210,-0.002825,0.000000,-0.012469
1788515947.642550,0.004153,-0.002167,0.000000,-0.012814
1788515947.710053,0.003872,-0.001912,0.000000,-0.012814
1788515947.777592,0.003468,-0.002266,0.000000,-0.012469
1788515947.841001,0.003835,-0.002718,0.000000,-0.011980
1788515947.910439,0.004248,-0.002080,0.000000,-0.011492
1788515947.976446,0.003970,-0.001924,0.000000,-0.012957
1788515948.044290,0.004248,-0.002205,0.000000,-0.012612
