t,x,y,z,yaw
1788515943.539764,0.047715,-0.029577,-0.006500,0.001749
1788515943.606637,0.047734,-0.029579,-0.006509,0.001759
1788515943.673736,0.047743,-0.029575,-0.006499,0.001739
1788515943.742763,0.047675,-0.030450,-0.006437,0.002379
1788515943.807724,0.047595,-0.029799,-0.006377,0.001602
1788515943.874952,0.047557,-0.029738,-0.006336,0.001714
1788515943.941710,0.047406,-0.029738,-0.006172,0.001780
1788515944.008716,0.047417,-0.030122,-0.006161,0.002182
1788515944.075701,0.047513,-0.030230,-0.006208,0.002124
1788515944.142343,0.047595,-0.029826,-0.006351,0.001614
1788515944.209597,0.047511,-0.030363,-0.006317,0.002289
1788515944.276572,0.047230,-0.030843,-0.006184,0.002553
1788515944.343596,0.047473,-0.030840,-0.006249,0.002067
1788515944.410589,0.047466,-0.029837,-0.006276,0.001541
1788515944.477569,0.047600,-0.029582,-0.006439,0.001428
1788515944.544457,0.047688,-0.029498,-0.006481,0.001600
1788515944.611799,0.047487,-0.029815,-0.006121,0.002019
1788515944.678335,0.047540,-0.029886,-0.006088,0.001958
1788515944.745464,0.047176,-0.030500,-0.005998,0.002461
1788515944.812746,0.047467,-0.029891,-0.006258,0.001652
1788515944.879283,0.047542,-0.029834,-0.006324,0.001692
1788515944.946439,0.047533,-0.030458,-0.006248,0.002286
1788515945.013434,0.047597,-0.030402,-0.006257,0.001931
1788515945.080305,0.047520,-0.030526,-0.006237,0.002202
1788515945.147301,0.047518,-0.030571,-0.006226,0.002176
1788515945.214162,0.047588,-0.030363,-0.006276,0.001830
1788515945.282129,0.047279,-0.031171,-0.006208,0.002629
1788515945.348287,0.047321,-0.031169,-0.006201,0.002230
1788515945.415283,0.047308,-0.031170,-0.006173,0.002275
1788515945.482794,0.047269,-0.030972,-0.005948,0.001947
1788515945.549269,0.047344,-0.030872,-0.005946,0.001936
1788515945.616143,0.047526,-0.030733,-0.006184,0.001846
1788515945.683151,0.047034,-0.030881,-0.006030,0.002372
1788515945.750013,0.046972,-0.030890,-0.005829,0.002177
1788515945.817214,0.047001,-0.030816,-0.005952,0.002080
1788515945.884128,0.047063,-0.030845,-0.005963,0.002186
1788515945.951128,0.047346,-0.030339,-0.006141,0.001695
1788515946.018142,0.047410,-0.030158,-0.006188,0.001679
1788515946.085123,0.046823,-0.030803,-0.005958,0.002487
1788515946.152014,0.047026,-0.030846,-0.006006,0.002222
1788515946.218997,0.046830,-0.030859,-0.005936,0.002291
1788515946.285872,0.046851,-0.030630,-0.005943,0.001964
1788515946.353034,0.047233,-0.030547,-0.006135,0.001838
1788515946.420348,0.047283,-0.030596,-0.006106,0.002110
1788515946.487224,0.047452,-0.029935,-0.006326,0.001530
1788515946.554349,0.047504,-0.030364,-0.006265,0.002165
1788515946.621013,0.047491,-0.030428,-0.006178,0.002110
1788515946.687964,0.047755,-0.029342,-0.006557,0.001329
1788515946.754858,0.047753,-0.029478,-0.006574,0.001825
1788515946.821722,0.047753,-0.029210,-0.006578,0.001451
1788515946.888866,0.047783,-0.029423,-0.006541,0.001824
1788515946.955852,0.047807,-0.029579,-0.006532,0.001933
1788515947.022823,0.047807,-0.029636,-0.006415,0.001863
1788515947.089869,0.047828,-0.028927,-0.006576,0.001297
1788515947.156900,0.047831,-0.029644,-0.006407,0.001984
1788515947.223834,0.047721,-0.029838,-0.006381,0.002132
1788515947.290756,0.047665,-0.029914,-0.006343,0.002090
1788515947.357579,0.047631,-0.030072,-0.006321,0.002156
1788515947.424721,0.047923,-0.028687,-0.006661,0.001116
1788515947.491700,0.047925,-0.029443,-0.006378,0.001918
1788515947.558764,0.047938,-0.029693,-0.006424,0.002030
1788515947.625719,0.047975,-0.029387,-0.006519,0.001492
1788515947.692686,0.047858,-0.030057,-0.006381,0.002174
1788515947.759923,0.047495,-0.030131,-0.006150,0.002207
1788515947.826548,0.047450,-0.030192,-0.006086,0.002042
1788515947.893452,0.047427,-0.030122,-0.006086,0.001901
1788515947.960544,0.047738,-0.029773,-0.006341,0.001535
1788515948.027550,0.047768,-0.029748,-0.006394,0.001809
1788515948.094650,0.047597,-0.029676,-0.006292,0.001748
1788515948.161752,0.047396,-0.030657,-0.006072,0.002443
1788515948.228533,0.047222,-0.031008,-0.006002,0.002608
1788515948.295594,0.047374,-0.030869,-0.006137,0.002037
1788515948.362487,0.047583,-0.030745,-0.006280,0.001912
1788515948.429271,0.047762,-0.030522,-0.006382,0.001730
1788515948.496423,0.047195,-0.030866,-0.006064,0.002390
1788515948.563405,0.047318,-0.030638,-0.006048,0.001876
1788515948.630369,0.047301,-0.030530,-0.006039,0.001922
1788515948.697376,0.047222,-0.030969,-0.005889,0.002408
1788515948.764410,0.046939,-0.030983,-0.005798,0.002284
1788515948.831378,0.047107,-0.030164,-0.005845,0.001597
1788515948.898251,0.047177,-0.030265,-0.005878,0.002016
1788515948.965149,0.047248,-0.030666,-0.005903,0.002326
1788515949.032237,0.047446,-0.029308,-0.006104,0.001294
1788515949.099262,0.047127,-0.030854,-0.005982,0.002590
1788515949.166302,0.047192,-0.030844,-0.006001,0.002142
1788515949.233293,0.046946,-0.030447,-0.005861,0.001884
1788515949.300196,0.046873,-0.030430,-0.005750,0.002095
1788515949.367228,0.047487,-0.029954,-0.006279,0.001544
1788515949.434098,0.046966,-0.030532,-0.006002,0.002378
1788515949.500989,0.047128,-0.030469,-0.006008,0.001989
1788515949.568075,0.047144,-0.030369,-0.006010,0.001896
1788515949.635817,0.047019,-0.030571,-0.005887,0.002283
1788515949.702096,0.047360,-0.030054,-0.006159,0.001639
1788515949.769099,0.047463,-0.029927,-0.006250,0.001634
1788515949.836329,0.047604,-0.029853,-0.006348,0.001615
1788515949.903075,0.047663,-0.029528,-0.006456,0.001415
1788515949.970021,0.047363,-0.030505,-0.006114,0.002346
1788515950.036860,0.047419,-0.030564,-0.006103,0.002144
1788515950.104059,0.047442,-0.030150,-0.006197,0.001723
1788515950.170809,0.047621,-0.028991,-0.006433,0.001131
1788515950.237947,0.047707,-0.029619,-0.006449,0.001940
1788515950.304954,0.047643,-0.029669,-0.006390,0.001946
1788515950.371952,0.047631,-0.029790,-0.006366,0.002033
1788515950.438977,0.047545,-0.029792,-0.006344,0.001905
1788515950.505835,0.047503,-0.029726,-0.006034,0.001678
1788515950.572689,0.047550,-0.030392,-0.006057,0.002289
1788515950.639868,0.047657,-0.029767,-0.006262,0.001554
1788515950.706762,0.047346,-0.030373,-0.005869,0.002263
1788515950.773823,0.047201,-0.029912,-0.005818,0.001717
1788515950.840800,0.047406,-0.030253,-0.005874,0.002123
1788515950.907805,0.047331,-0.030047,-0.005772,0.001756
1788515950.974855,0.047289,-0.030323,-0.005711,0.002183
1788515951.041696,0.047135,-0.030362,-0.005671,0.002211
1788515951.108666,0.047616,-0.029755,-0.006075,0.001491
1788515951.175537,0.047216,-0.030345,-0.005920,0.002300
1788515951.242681,0.047119,-0.030397,-0.005842,0.002202
1788515951.309654,0.046992,-0.030348,-0.005763,0.002009
1788515951.376662,0.047102,-0.030206,-0.005852,0.001846
1788515951.443696,0.047444,-0.029647,-0.006167,0.001419
1788515951.510713,0.047578,-0.029579,-0.006245,0.001647
1788515951.577404,0.047291,-0.030628,-0.006107,0.002497
1788515951.644530,0.047307,-0.030575,-0.006115,0.002042
1788515951.711375,0.047248,-0.030888,-0.006018,0.002389
1788515951.778685,0.047288,-0.030654,-0.006043,0.001976
1788515951.845519,0.047254,-0.030932,-0.005984,0.002380
1788515951.912641,0.047259,-0.030264,-0.006012,0.001738
1788515951.980235,0.047447,-0.029764,-0.006236,0.001471
1788515952.046488,0.047514,-0.029828,-0.006287,0.001879
1788515952.113394,0.047543,-0.029865,-0.006253,0.001870
1788515952.180402,0.047848,-0.027588,-0.006954,0.000658
1788515952.247266,0.047949,-0.028596,-0.006924,0.001713
1788515952.314368,0.047320,-0.028969,-0.006401,0.001971
